cluster_label,ra_deg_param,dec_deg_param,r_sun_display_param,r_gc_kpc_display_param,n_rv,n_pm,present_mass_display,v_mag_display,mass_to_light_display,core_radius_pc,half_light_radius_pc,half_mass_radius_pc,tidal_radius_pc,log_core_density,log_half_mass_density,log_relaxation_time_yr,log_initial_mass_msun,remaining_dissolution_time_gyr,mass_range_display,mf_slope_display,sigma0_kms,vesc_kms,eta_core,eta_half_mass,rotation_amplitude_display,rotation_probability_percent,r_sun_kpc_param,r_gc_kpc_param,present_mass_msun,v_mag,mass_to_light_v,mf_slope,rotation_amplitude_kms,ra_deg,dec_deg,galactic_l_deg,galactic_b_deg,r_sun_display,r_gc_kpc_display,rv_kms_display,pmra_masyr_display,pmdec_masyr_display,pm_correlation,x_kpc_display,y_kpc_display,z_kpc_display,u_kms_display,v_kms_display,w_kms_display,r_peri_kpc_display,r_apo_kpc_display,r_sun_kpc,r_gc_kpc,rv_kms,pmra_masyr,pmdec_masyr,x_kpc,y_kpc,z_kpc,u_kms,v_kms,w_kms,r_peri_kpc,r_apo_kpc,cluster_name,cluster_alias,semi_major_axis_kpc,eccentricity,initial_mass_msun,mass_loss_fraction,radius_bin_paper
NGC 5139 ω Cen,201.69699,-47.47947,5.43 ± 0.05,6.50 ± 0.01,4593,55653,3.94 ± 0.02 · 106,3.50 ± 0.04,2.80 ± 0.10,4.3,7.56,10.42,208.6,3.23,2.62,10.32,6.9,129.0,0.17 − 0.80,-0.80 ± 0.11,18.0,62.2,-0.19,-0.01,4.27 ± 0.52,100.0,5.43,6.5,3940000.0,3.5,2.8,-0.8,4.27,201.696991,-47.479473,309.102,14.968,5.43 ± 0.05,6.50 ± 0.01,232.78 ± 0.21,-3.236 ± 0.011,-6.731 ± 0.011,-0.12,4.87 ± 0.03,-4.07 ± 0.04,1.40 ± 0.01,-95.98 ± 0.25,-21.69 ± 0.24,-86.82 ± 0.27,1.47 ± 0.04,6.95 ± 0.03,5.43,6.5,232.78,-3.236,-6.731,4.87,-4.07,1.4,-95.98,-21.69,-86.82,1.47,6.95,NGC 5139,ω Cen,4.21,0.65083135391924,7943282.347242822,0.5039833877530986,mid_3_15kpc
NGC 4833,194.89134,-70.8765,6.48 ± 0.08,7.13 ± 0.02,176,2853,1.86 ± 0.04 · 105,7.19 ± 0.03,1.57 ± 0.06,1.27,3.26,4.58,77.06,3.29,2.37,9.15,6.01,6.4,0.24 − 0.77,-0.34 ± 0.15,6.0,22.2,-0.31,-0.1,1.14 ± 0.83,86.6,6.48,7.13,186000.0,7.19,1.57,-0.34,1.14,194.891342,-70.876503,303.604,-8.015,6.48 ± 0.08,7.13 ± 0.02,201.99 ± 0.40,-8.390 ± 0.006,-0.968 ± 0.006,0.19,4.63 ± 0.05,-5.34 ± 0.07,-0.90 ± 0.01,95.21 ± 0.27,-54.95 ± 0.34,-42.21 ± 0.19,0.85 ± 0.03,7.62 ± 0.08,6.48,7.13,201.99,-8.39,-0.968,4.63,-5.34,-0.9,95.21,-54.95,-42.21,0.85,7.62,NGC 4833,,4.235,0.7992916174734357,1023292.9922807537,0.8182338769022192,mid_3_15kpc
2MASS-GC01,272.09085,-19.82972,3.37 ± 0.62,4.90 ± 0.57,2,0,4.1 · 104,27.74,1.80,0.18,3.99,5.98,30.44,5.44,1.38,9.04,5.37,5.8,—,-0.36,2.8,11.2,-0.37,-0.1,,,3.37,4.9,41000.0,27.74,1.8,-0.36,,272.090851,-19.829723,10.471,0.1,3.37 ± 0.62,4.90 ± 0.57,-35.58 ± 0.35,-1.366 ± 0.286,-1.754 ± 0.227,0.28,4.86 ± 0.61,0.61 ± 0.11,0.01 ± 0.00,17.52 ± 0.78,211.23 ± 3.79,12.67 ± 4.34,3.61 ± 0.59,5.15 ± 0.55,3.37,4.9,-35.58,-1.366,-1.754,4.86,0.61,0.01,17.52,211.23,12.67,3.61,5.15,2MASS-GC01,,4.38,0.1757990867579909,234422.88153199226,0.825102397291347,mid_3_15kpc
NGC 6752,287.7171,-59.98455,4.12 ± 0.04,5.30 ± 0.02,7639,3855,2.61 ± 0.03 · 105,5.35 ± 0.05,2.21 ± 0.11,0.3,2.86,4.75,66.41,5.07,2.47,9.3,5.84,27.1,0.14 − 0.78,-0.67 ± 0.13,7.7,31.3,-0.39,-0.11,0.91 ± 0.34,99.9,4.12,5.3,261000.0,5.35,2.21,-0.67,0.91,287.717102,-59.984554,336.493,-25.628,4.12 ± 0.04,5.30 ± 0.02,-26.01 ± 0.12,-3.160 ± 0.012,-4.024 ± 0.012,0.03,4.77 ± 0.03,-1.48 ± 0.01,-1.78 ± 0.02,27.25 ± 0.17,172.35 ± 0.23,60.49 ± 0.22,3.38 ± 0.03,5.49 ± 0.02,4.12,5.3,-26.01,-3.16,-4.024,4.77,-1.48,-1.78,27.25,172.35,60.49,3.38,5.49,NGC 6752,,4.4350000000000005,0.23788049605411501,691830.9709189363,0.6227402198353128,mid_3_15kpc
NGC 6397,265.17538,-53.67434,2.48 ± 0.02,6.01 ± 0.02,3434,4417,8.24 ± 0.14 · 104,5.45 ± 0.04,1.42 ± 0.06,0.14,2.17,3.16,49.64,5.19,2.5,8.71,5.57,8.9,0.34 − 0.78,-0.32 ± 0.13,5.4,21.5,-0.39,-0.11,0.48 ± 0.17,100.0,2.48,6.01,82400.0,5.45,1.42,-0.32,0.48,265.175385,-53.674335,338.165,-11.96,2.48 ± 0.02,6.01 ± 0.02,18.51 ± 0.08,3.251 ± 0.005,-17.649 ± 0.005,-0.25,5.92 ± 0.02,-0.90 ± 0.01,-0.51 ± 0.00,58.24 ± 0.08,106.68 ± 0.06,-130.34 ± 0.06,2.60 ± 0.01,6.30 ± 0.01,2.48,6.01,18.51,3.251,-17.649,5.92,-0.9,-0.51,58.24,106.68,-130.34,2.6,6.3,NGC 6397,,4.45,0.41573033707865165,371535.2290971728,0.7782175321564223,mid_3_15kpc
NGC 5927,232.00287,-50.67303,8.27 ± 0.11,4.77 ± 0.03,582,4302,2.93 ± 0.05 · 105,7.74 ± 0.04,1.74 ± 0.07,1.33,3.11,5.92,64.5,3.39,2.23,9.43,5.86,33.5,0.50 − 0.81,-0.99 ± 0.15,6.6,25.2,-0.31,-0.09,0.93 ± 0.72,82.2,8.27,4.77,293000.0,7.74,1.74,-0.99,0.93,232.002869,-50.673031,326.604,4.86,8.27 ± 0.11,4.77 ± 0.03,-104.09 ± 0.28,-5.058 ± 0.006,-3.186 ± 0.006,-0.25,1.30 ± 0.09,-4.54 ± 0.06,0.70 ± 0.01,205.00 ± 0.27,114.22 ± 0.25,7.05 ± 0.23,4.03 ± 0.01,5.48 ± 0.07,8.27,4.77,-104.09,-5.058,-3.186,1.3,-4.54,0.7,205.0,114.22,7.05,4.03,5.48,NGC 5927,,4.755000000000001,0.15247108307045215,724435.9600749906,0.5955474104713551,mid_3_15kpc
NGC 7099 M 30,325.09213,-23.17986,8.46 ± 0.09,7.36 ± 0.04,2902,2021,1.21 ± 0.03 · 105,7.37 ± 0.05,1.61 ± 0.08,0.09,2.54,4.27,71.2,6.74,2.28,9.01,5.76,8.2,0.20 − 0.77,-0.75 ± 0.13,5.9,21.0,-0.39,-0.08,1.10 ± 0.40,100.0,8.46,7.36,121000.0,7.37,1.61,-0.75,1.1,325.092133,-23.179861,27.179,-46.835,8.46 ± 0.09,7.36 ± 0.04,-185.19 ± 0.17,-0.732 ± 0.008,-7.307 ± 0.007,0.29,3.03 ± 0.05,2.64 ± 0.03,-6.17 ± 0.06,1.80 ± 0.27,-80.48 ± 0.29,107.84 ± 0.25,1.51 ± 0.01,8.56 ± 0.08,8.46,7.36,-185.19,-0.732,-7.307,3.03,2.64,-6.17,1.8,-80.48,107.84,1.51,8.56,NGC 7099,M 30,5.035,0.7000993048659385,575439.9373371566,0.7897260997213255,mid_3_15kpc
NGC 4372,186.4391,-72.65908,5.71 ± 0.21,7.22 ± 0.04,199,1846,1.89 ± 0.07 · 105,7.37 ± 0.05,1.98 ± 0.12,3.55,5.77,8.34,74.01,2.12,1.59,9.63,5.75,20.5,0.16 − 0.77,-0.86 ± 0.18,4.4,15.5,-0.29,-0.11,1.36 ± 0.68,99.2,5.71,7.22,189000.0,7.37,1.98,-0.86,1.36,186.439101,-72.659084,300.993,-9.884,5.71 ± 0.21,7.22 ± 0.04,75.59 ± 0.30,-6.409 ± 0.004,3.309 ± 0.005,0.18,5.28 ± 0.11,-4.82 ± 0.18,-0.98 ± 0.04,100.02 ± 0.18,84.28 ± 0.26,64.83 ± 0.13,2.88 ± 0.10,7.26 ± 0.03,5.71,7.22,75.59,-6.409,3.309,5.28,-4.82,-0.98,100.02,84.28,64.83,2.88,7.26,NGC 4372,,5.07,0.4319526627218935,562341.3251903491,0.6639051915026436,mid_3_15kpc
NGC 6205 M 13,250.42181,36.45986,7.42 ± 0.08,8.64 ± 0.04,426,6668,4.84 ± 0.06 · 105,5.81 ± 0.04,2.05 ± 0.08,1.75,3.47,5.21,130.27,3.35,2.61,9.47,6.11,26.4,0.30 − 0.74,-0.94 ± 0.12,8.9,32.4,-0.26,-0.1,1.53 ± 0.61,99.9,7.42,8.64,484000.0,5.81,2.05,-0.94,1.53,250.421814,36.459862,59.007,40.913,7.42 ± 0.08,8.64 ± 0.04,-244.90 ± 0.30,-3.138 ± 0.006,-2.572 ± 0.006,0.23,5.29 ± 0.03,4.81 ± 0.05,4.86 ± 0.05,30.36 ± 0.24,-14.96 ± 0.26,-77.75 ± 0.26,1.51 ± 0.01,8.73 ± 0.04,7.42,8.64,-244.9,-3.138,-2.572,5.29,4.81,4.86,30.36,-14.96,-77.75,1.51,8.73,NGC 6205,M 13,5.12,0.705078125,1288249.551693135,0.6242963955517136,mid_3_15kpc
Djor 1,266.86958,-33.06639,9.88 ± 0.65,1.82 ± 0.59,8,129,8.43 ± 1.36 · 104,13.08 ± 0.12,1.93 ± 0.38,0.8,4.1,5.62,25.36,3.32,1.76,9.12,5.77,4.7,0.57 − 0.77,-0.31 ± 0.28,3.8,14.8,-0.37,-0.1,,,9.88,1.82,84300.0,13.08,1.93,-0.31,,266.869583,-33.066389,356.675,-2.484,9.88 ± 0.65,1.82 ± 0.59,-359.18 ± 1.64,-4.725 ± 0.028,-8.470 ± 0.021,-0.02,-1.68 ± 0.65,-0.57 ± 0.04,-0.43 ± 0.03,374.13 ± 1.63,-180.09 ± 1.08,7.50 ± 1.22,1.19 ± 0.31,9.29 ± 3.67,9.88,1.82,-359.18,-4.725,-8.47,-1.68,-0.57,-0.43,374.13,-180.09,7.5,1.19,9.29,Djor 1,,5.239999999999999,0.7729007633587787,588843.6553555884,0.8568380600974748,mid_3_15kpc
IC 1276,272.68444,-7.2076,4.55 ± 0.25,4.34 ± 0.17,33,300,7.43 ± 0.70 · 104,9.92 ± 0.06,1.81 ± 0.20,0.87,3.2,4.98,37.75,3.2,1.86,9.04,5.45,11.3,—,-0.51 ± 0.30,3.7,14.3,-0.36,-0.12,,,4.55,4.34,74300.0,9.92,1.81,-0.51,,272.684441,-7.207595,21.832,5.668,4.55 ± 0.25,4.34 ± 0.17,155.06 ± 0.69,-2.555 ± 0.015,-4.586 ± 0.015,0.04,3.97 ± 0.23,1.69 ± 0.09,0.45 ± 0.02,-196.33 ± 0.65,204.37 ± 0.40,24.13 ± 0.34,3.69 ± 0.09,6.93 ± 0.41,4.55,4.34,155.06,-2.555,-4.586,3.97,1.69,0.45,-196.33,204.37,24.13,3.69,6.93,IC 1276,,5.31,0.3050847457627119,281838.2931264455,0.7363736517994535,mid_3_15kpc
NGC 6235,253.35568,-22.17745,11.94 ± 0.38,4.42 ± 0.33,21,120,9.60 ± 1.80 · 104,9.62 ± 0.04,2.30 ± 0.44,1.16,3.36,5.07,36.93,3.04,1.94,9.12,5.47,14.3,—,-0.59 ± 0.30,4.1,15.5,-0.36,-0.11,,,11.94,4.42,96000.0,9.62,2.3,-0.59,,253.355676,-22.177447,358.918,13.518,11.94 ± 0.38,4.42 ± 0.33,126.68 ± 0.33,-3.942 ± 0.032,-7.602 ± 0.031,-0.13,-3.43 ± 0.37,-0.22 ± 0.01,2.79 ± 0.09,-144.47 ± 0.52,-227.91 ± 1.76,-43.18 ± 1.72,3.50 ± 0.38,7.49 ± 1.09,11.94,4.42,126.68,-3.942,-7.602,-3.43,-0.22,2.79,-144.47,-227.91,-43.18,3.5,7.49,NGC 6235,,5.495,0.36305732484076436,295120.9226666384,0.6747096101063654,mid_3_15kpc
NGC 5897,229.35166,-21.01012,12.55 ± 0.24,7.41 ± 0.18,160,844,1.67 ± 0.10 · 105,8.48 ± 0.04,2.37 ± 0.16,5.0,7.62,10.9,72.04,1.66,1.19,9.79,5.72,17.2,0.24 − 0.79,-1.01 ± 0.11,3.6,12.5,-0.2,-0.09,1.02 ± 0.79,82.0,12.55,7.41,167000.0,8.48,2.37,-1.01,1.02,229.351659,-21.010122,342.946,30.294,12.55 ± 0.24,7.41 ± 0.18,101.31 ± 0.22,-5.415 ± 0.006,-3.392 ± 0.006,-0.33,-2.18 ± 0.19,-3.18 ± 0.06,6.33 ± 0.12,34.52 ± 0.27,-129.35 ± 0.34,91.18 ± 0.32,2.45 ± 0.22,8.83 ± 0.29,12.55,7.41,101.31,-5.415,-3.392,-2.18,-3.18,6.33,34.52,-129.35,91.18,2.45,8.83,NGC 5897,,5.640000000000001,0.5656028368794326,524807.4602497723,0.6817880601001376,mid_3_15kpc
NGC 6341 M 92,259.28076,43.13594,8.50 ± 0.07,9.85 ± 0.04,397,3338,2.73 ± 0.05 · 105,6.51 ± 0.03,1.68 ± 0.05,0.29,2.03,3.59,113.0,6.3,2.85,9.1,5.98,13.9,0.15 − 0.77,-0.83 ± 0.12,9.1,36.4,-0.42,-0.12,1.46 ± 0.61,99.9,8.5,9.85,273000.0,6.51,1.68,-0.83,1.46,259.280762,43.135944,68.338,34.859,8.50 ± 0.07,9.85 ± 0.04,-120.55 ± 0.27,-4.934 ± 0.012,-0.630 ± 0.012,0.13,5.60 ± 0.02,6.48 ± 0.05,4.86 ± 0.04,22.97 ± 0.46,39.48 ± 0.37,98.27 ± 0.42,1.25 ± 0.02,10.62 ± 0.05,8.5,9.85,-120.55,-4.934,-0.63,5.6,6.48,4.86,22.97,39.48,98.27,1.25,10.62,NGC 6341,M 92,5.935,0.7893850042123,954992.5860214368,0.7141339063821047,mid_3_15kpc
NGC 6838 M 71,298.44373,18.77919,4.00 ± 0.05,6.86 ± 0.01,311,1308,3.78 ± 0.14 · 104,7.16 ± 0.03,0.99 ± 0.05,1.07,3.32,4.81,40.95,2.72,1.61,8.9,5.24,7.8,0.25 − 0.82,-0.17 ± 0.15,2.6,10.2,-0.37,-0.12,0.74 ± 0.42,97.8,4.0,6.86,37800.0,7.16,0.99,-0.17,0.74,298.443726,18.779194,56.746,-4.564,4.00 ± 0.05,6.86 ± 0.01,-22.72 ± 0.20,-3.412 ± 0.011,-2.662 ± 0.011,-0.06,5.99 ± 0.03,3.34 ± 0.04,-0.32 ± 0.00,-63.91 ± 0.21,193.37 ± 0.21,38.86 ± 0.22,4.81 ± 0.02,7.12 ± 0.00,4.0,6.86,-22.72,-3.412,-2.662,5.99,3.34,-0.32,-63.91,193.37,38.86,4.81,7.12,NGC 6838,M 71,5.965,0.19362950544844934,173780.08287493762,0.7824837036865548,mid_3_15kpc
BH 140,193.47292,-67.17728,4.81 ± 0.25,6.86 ± 0.01,24,590,6.12 ± 0.51 · 104,9.14 ± 0.12,2.55 ± 0.35,4.81,6.22,9.73,51.77,1.31,0.9,9.48,5.51,6.2,—,-0.57 ± 0.30,2.3,8.1,-0.18,-0.09,,,4.81,6.86,61200.0,9.14,2.55,-0.57,,193.472915,-67.177276,303.171,-4.307,4.81 ± 0.25,6.86 ± 0.01,90.30 ± 0.35,-14.901 ± 0.069,1.258 ± 0.073,0.17,5.55 ± 0.13,-4.01 ± 0.21,-0.36 ± 0.02,222.36 ± 1.33,-10.80 ± 0.91,32.29 ± 1.66,2.01 ± 0.11,10.00 ± 0.57,4.81,6.86,90.3,-14.901,1.258,5.55,-4.01,-0.36,222.36,-10.8,32.29,2.01,10.0,BH 140,,6.005,0.6652789342214821,323593.6569296281,0.8108739195301682,mid_3_15kpc
Gran 2,257.89,-24.849,15.84 ± 1.55,7.85 ± 1.48,1,28,4.2 · 104,12.56,1.80,2.84,8.78,12.29,55.3,1.5,0.47,9.54,5.3,7.7,—,-0.70,1.6,6.3,-0.34,-0.06,,,15.84,7.85,42000.0,12.56,1.8,-0.7,,257.89,-24.849,359.229,8.586,15.84 ± 1.55,7.85 ± 1.48,53.22 ± 1.67,0.227 ± 0.027,-2.568 ± 0.022,-0.02,-7.48 ± 1.53,-0.21 ± 0.02,2.36 ± 0.23,-80.46 ± 1.69,103.84 ± 1.79,-108.80 ± 1.92,3.80 ± 0.59,8.39 ± 1.49,15.84,7.85,53.22,0.227,-2.568,-7.48,-0.21,2.36,-80.46,103.84,-108.8,3.8,8.39,Gran 2,,6.095000000000001,0.37653814602132896,199526.2314968879,0.7895013618765456,mid_3_15kpc
VVV-CL160,271.7375,-20.01111,6.80 ± 0.50,1.91 ± 0.31,13,0,5.28 ± 2.19 · 104,15.60 ± 0.50,2.53 ± 1.60,0.81,3.28,4.5,19.52,3.15,1.84,8.9,5.84,2.1,—,-0.12 ± 0.30,3.2,12.8,-0.35,-0.12,,,6.8,1.91,52800.0,15.6,2.53,-0.12,,271.7375,-20.011111,10.151,0.302,6.80 ± 0.50,1.91 ± 0.31,245.28 ± 0.78,-2.025 ± 0.133,-16.766 ± 0.104,0.31,1.48 ± 0.49,1.20 ± 0.09,0.04 ± 0.00,-342.40 ± 0.99,-200.24 ± 3.54,-197.76 ± 4.08,0.85 ± 0.06,11.52 ± 1.17,6.8,1.91,245.28,-2.025,-16.766,1.48,1.2,0.04,-342.4,-200.24,-197.76,0.85,11.52,VVV-CL160,,6.185,0.862570735650768,691830.9709189363,0.923680780104615,mid_3_15kpc
NGC 6656 M 22,279.09976,-23.90475,3.30 ± 0.04,5.00 ± 0.03,6324,5434,4.70 ± 0.06 · 105,5.06 ± 0.04,2.02 ± 0.08,0.88,3.18,5.21,76.82,4.02,2.6,9.49,6.04,47.3,0.18 − 0.74,-0.90 ± 0.15,9.1,35.5,-0.39,-0.09,3.38 ± 0.71,100.0,3.3,5.0,470000.0,5.06,2.02,-0.9,3.38,279.099762,-23.904749,9.892,-7.552,3.30 ± 0.04,5.00 ± 0.03,-148.72 ± 0.78,9.841 ± 0.009,-5.607 ± 0.009,0.2,4.95 ± 0.04,0.56 ± 0.01,-0.43 ± 0.00,155.31 ± 0.76,212.88 ± 0.19,-148.73 ± 0.18,2.97 ± 0.02,9.59 ± 0.02,3.3,5.0,-148.72,9.841,-5.607,4.95,0.56,-0.43,155.31,212.88,-148.73,2.97,9.59,NGC 6656,M 22,6.28,0.5270700636942675,1096478.196143185,0.5713549055027225,mid_3_15kpc
NGC 362,15.80942,-70.84878,8.83 ± 0.10,9.62 ± 0.06,2342,4286,2.52 ± 0.04 · 105,6.48 ± 0.03,1.28 ± 0.04,0.43,2.21,3.36,86.94,4.57,2.91,9.01,6.05,7.5,0.26 − 0.82,-0.76 ± 0.13,8.6,34.0,-0.38,-0.11,0.51 ± 0.56,53.0,8.83,9.62,252000.0,6.48,1.28,-0.76,0.51,15.809416,-70.848778,301.533,-46.247,8.83 ± 0.10,9.62 ± 0.06,223.12 ± 0.28,6.692 ± 0.009,-2.533 ± 0.009,-0.15,4.98 ± 0.03,-5.20 ± 0.06,-6.38 ± 0.07,93.45 ± 0.36,-98.32 ± 0.33,-67.93 ± 0.32,0.73 ± 0.06,11.84 ± 0.13,8.83,9.62,223.12,6.692,-2.533,4.98,-5.2,-6.38,93.45,-98.32,-67.93,0.73,11.84,NGC 362,,6.285,0.8838504375497215,1122018.4543019629,0.775404763590296,mid_3_15kpc
NGC 6356,260.8958,-17.81303,15.66 ± 0.92,7.86 ± 0.86,54,98,5.65 ± 0.80 · 105,8.32 ± 0.07,2.59 ± 0.40,1.53,3.99,7.73,118.2,3.38,2.19,9.78,6.09,62.3,—,-0.96 ± 0.30,8.1,31.1,-0.3,-0.06,,,15.66,7.86,565000.0,8.32,2.59,-0.96,,260.895804,-17.813027,6.724,10.22,15.66 ± 0.92,7.86 ± 0.87,48.18 ± 1.82,-3.769 ± 0.011,-3.410 ± 0.010,0.03,-7.12 ± 0.90,1.80 ± 0.11,2.78 ± 0.16,-83.82 ± 1.79,-106.31 ± 0.76,111.08 ± 0.82,3.62 ± 1.13,8.99 ± 1.26,15.66,7.86,48.18,-3.769,-3.41,-7.12,1.8,2.78,-83.82,-106.31,111.08,3.62,8.99,NGC 6356,,6.305,0.4258524980174465,1230268.770812381,0.5407507583672837,mid_3_15kpc
NGC 104 47 Tuc,6.02379,-72.08131,4.52 ± 0.03,7.52 ± 0.01,7177,27460,8.53 ± 0.05 · 105,4.08 ± 0.05,1.87 ± 0.09,0.61,4.03,6.44,124.63,4.72,2.61,9.7,6.24,106.3,0.22 − 0.86,-0.65 ± 0.12,11.9,47.4,-0.4,-0.04,5.00 ± 0.32,100.0,4.52,7.52,852999.9999999999,4.08,1.87,-0.65,5.0,6.023792,-72.081306,305.895,-44.889,4.52 ± 0.03,7.52 ± 0.01,-17.45 ± 0.16,5.253 ± 0.008,-2.557 ± 0.008,-0.03,6.30 ± 0.01,-2.59 ± 0.02,-3.19 ± 0.02,77.52 ± 0.17,170.83 ± 0.17,46.02 ± 0.17,5.47 ± 0.01,7.51 ± 0.00,4.52,7.52,-17.45,5.253,-2.557,6.3,-2.59,-3.19,77.52,170.83,46.02,5.47,7.51,NGC 104,47 Tuc,6.49,0.15716486902927582,1737800.8287493763,0.5091497334514055,mid_3_15kpc
Pal 11,296.31,-8.00722,14.02 ± 0.51,8.70 ± 0.41,13,18,1.42 ± 0.58 · 104,11.86 ± 0.03,1.50 ± 0.61,4.1,6.1,9.75,32.78,0.81,0.26,9.17,5.04,3.4,0.71 − 0.85,-0.53 ± 0.41,1.1,4.0,-0.21,-0.11,,,14.02,8.7,14200.0,11.86,1.5,-0.53,,296.31,-8.007222,31.805,-15.576,14.02 ± 0.51,8.70 ± 0.42,-67.64 ± 0.76,-1.741 ± 0.025,-4.973 ± 0.022,0.17,-3.30 ± 0.42,7.12 ± 0.26,-3.77 ± 0.14,-129.70 ± 1.12,-83.56 ± 1.36,-14.16 ± 1.60,4.49 ± 0.73,8.68 ± 0.47,14.02,8.7,-67.64,-1.741,-4.973,-3.3,7.12,-3.77,-129.7,-83.56,-14.16,4.49,8.68,Pal 11,,6.585,0.3181473044798785,109647.8196143185,0.8704944608114609,mid_3_15kpc
NGC 5286,206.61171,-51.37425,11.10 ± 0.14,8.46 ± 0.09,1704,1892,4.24 ± 0.09 · 105,7.35 ± 0.03,1.77 ± 0.06,0.49,2.37,3.58,95.48,4.61,3.05,9.15,6.12,13.5,0.37 − 0.75,-0.72 ± 0.16,10.7,41.8,-0.36,-0.1,0.76 ± 0.95,40.6,11.1,8.46,424000.0,7.35,1.77,-0.72,0.76,206.61171,-51.374249,311.614,10.568,11.10 ± 0.14,8.46 ± 0.09,62.38 ± 0.40,0.187 ± 0.007,-0.160 ± 0.007,0.08,0.93 ± 0.09,-8.16 ± 0.11,2.03 ± 0.03,-58.91 ± 0.39,210.15 ± 0.39,8.54 ± 0.37,0.93 ± 0.05,12.78 ± 0.16,11.1,8.46,62.38,0.187,-0.16,0.93,-8.16,2.03,-58.91,210.15,8.54,0.93,12.78,NGC 5286,,6.8549999999999995,0.8643326039387309,1318256.7385564074,0.6783631081876261,mid_3_15kpc
NGC 288,13.1885,-26.58261,8.99 ± 0.09,12.21 ± 0.06,549,2637,9.62 ± 0.37 · 104,8.10 ± 0.04,2.22 ± 0.12,3.5,5.84,8.56,95.16,1.83,1.26,9.49,5.6,9.3,0.22 − 0.82,-0.66 ± 0.11,3.1,10.9,-0.31,-0.1,0.42 ± 0.32,84.3,8.99,12.21,96199.99999999999,8.1,2.22,-0.66,0.42,13.1885,-26.582611,151.285,-89.38,8.99 ± 0.09,12.21 ± 0.06,-44.45 ± 0.13,4.157 ± 0.004,-5.705 ± 0.004,0.45,8.26 ± 0.00,0.05 ± 0.00,-8.99 ± 0.09,4.20 ± 0.15,-48.34 ± 0.16,50.29 ± 0.13,1.93 ± 0.10,12.34 ± 0.07,8.99,12.21,-44.45,4.157,-5.705,8.26,0.05,-8.99,4.2,-48.34,50.29,1.93,12.34,NGC 288,,7.135,0.7295024526979678,398107.1705534969,0.7583565252887783,mid_3_15kpc
NGC 6779 M 56,289.14819,30.18347,10.43 ± 0.14,9.91 ± 0.09,101,733,1.66 ± 0.08 · 105,8.15 ± 0.05,1.55 ± 0.10,0.98,2.96,4.42,92.17,3.48,2.36,9.11,5.85,9.7,0.31 − 0.77,-0.56 ± 0.15,5.8,21.9,-0.35,-0.13,1.09 ± 1.52,35.1,10.43,9.91,166000.0,8.15,1.55,-0.56,1.09,289.148193,30.183472,62.659,8.336,10.43 ± 0.14,9.91 ± 0.09,-136.97 ± 0.45,-2.003 ± 0.007,1.617 ± 0.007,0.07,3.44 ± 0.06,9.17 ± 0.13,1.51 ± 0.02,83.50 ± 0.37,128.29 ± 0.43,110.44 ± 0.35,1.30 ± 0.08,13.13 ± 0.16,10.43,9.91,-136.97,-2.003,1.617,3.44,9.17,1.51,83.5,128.29,110.44,1.3,13.13,NGC 6779,M 56,7.215000000000001,0.8198198198198198,707945.7843841374,0.7655187675926226,mid_3_15kpc
NGC 7078 M 15,322.49304,12.167,10.71 ± 0.10,10.76 ± 0.07,4132,6157,5.18 ± 0.07 · 105,6.28 ± 0.07,1.29 ± 0.08,0.06,2.03,3.66,132.13,6.65,3.09,9.21,6.05,65.0,0.18 − 0.73,-0.97 ± 0.12,13.1,48.9,-0.37,-0.07,3.29 ± 0.51,100.0,10.71,10.76,518000.0,6.28,1.29,-0.97,3.29,322.493042,12.167001,65.013,-27.313,10.71 ± 0.10,10.76 ± 0.07,-106.84 ± 0.30,-0.648 ± 0.009,-3.801 ± 0.008,0.13,4.16 ± 0.04,8.62 ± 0.08,-4.91 ± 0.04,-106.01 ± 0.42,53.95 ± 0.35,-30.30 ± 0.41,3.90 ± 0.06,10.77 ± 0.06,10.71,10.76,-106.84,-0.648,-3.801,4.16,8.62,-4.91,-106.01,53.95,-30.3,3.9,10.77,NGC 7078,M 15,7.335,0.4683026584867075,1122018.4543019629,0.5383320140467196,mid_3_15kpc
ESO 280-SC06,272.275,-46.42333,20.95 ± 0.65,13.41 ± 0.62,18,0,4.01 ± 1.65 · 104,12.23 ± 0.20,5.29 ± 2.39,2.46,7.02,9.69,76.05,1.67,0.73,9.36,5.54,3.4,—,-0.40 ± 0.30,1.8,6.8,-0.3,-0.08,,,20.95,13.41,40100.0,12.23,5.29,-0.4,,272.275,-46.423333,346.899,-12.571,20.95 ± 0.65,13.41 ± 0.62,93.20 ± 0.34,-0.695 ± 0.020,-2.776 ± 0.016,0.23,-11.73 ± 0.61,-4.63 ± 0.14,-4.56 ± 0.14,-23.96 ± 0.60,-35.85 ± 1.67,-71.97 ± 1.91,1.55 ± 0.33,13.82 ± 0.71,20.95,13.41,93.2,-0.695,-2.776,-11.73,-4.63,-4.56,-23.96,-35.85,-71.97,1.55,13.82,ESO 280-SC06,,7.6850000000000005,0.7983083929733246,346736.85045253165,0.8843503367246232,mid_3_15kpc
